DWT/TEU;LOA;Lpp;Beam;Depth;Draft ;Displ;WLatLoad;WLatBal;WTnvLoad;WTnvBal
7000;116;108;19.6;9.3;6.9;10200;1320;1360;300;396
10000;134;125;21.6;10.7;7.7;14300;1690;1700;373;477
15000;157;147;24.1;12.6;8.7;21100;2250;2190;478;591
20000;176;165;26.1;14.1;9.5;27800;2750;2620;569;687
25000;192;180;27.7;15.4;10.2;34300;3220;3010;652;770
30000;206;194;29.1;16.5;10.7;40800;3660;3370;729;850
40000;231;218;32.3;18.5;11.7;53700;4480;4040;870;990
50000;252;238;32.3;20.2;12.5;66500;5230;4640;990;1110
60000;271;256;35.2;21.7;13.2;79100;5950;5200;1110;1220
