DWT/TEU;LOA;Lpp;Beam;Depth;Draft ;Displ;WLatLoad;WLatBal;WTnvLoad;WTnvBal
5000;106;98;15;8.4;6.1;6740;615;850;205;231
7000;116;108;16.6;9.3;6.7;9270;710;1010;232;271
10000;129;120;18.5;10.4;7.5;13000;830;1230;264;320
15000;145;135;21;11.7;8.4;19100;980;1520;307;387
20000;157;148;23;12.8;9.2;25000;1110;1770;341;443
30000;176;167;26.1;14.4;10.3;36700;1320;2190;397;536
50000;204;194;32.3;16.8;12;59600;1640;2870;479;682
70000;224;215;32.3;18.6;13.3;81900;1890;3440;542;798
100000;248;239;37.9;20.7;14.8;115000;2200;4150;619;940
150000;279;270;43;23.3;16.7;168000;2610;4140;719;1140
200000;303;294;47;25.4;18.2;221000;2950;5990;800;1310
250000;322;314;50.4;27.2;19.4;273000;3240;6740;868;1450
