DWT/TEU;LOA;Lpp;Beam;Depth;Draft ;Displ;WLatLoad;WLatBal;WTnvLoad;WTnvBal
7000;123;115;20.3;9.8;7.2;10700;1460;1590;330;444
10000;141;132;22.4;11.3;8.0;15100;1880;1990;410;535
15000;166;156;25.0;13.3;9.0;22200;2490;2560;524;663
20000;186;175;27.1;14.9;9.9;29200;3050;3070;625;771
25000;203;191;28.8;16.3;10.6;36100;3570;3520;716;870
30000;218;205;30.2;17.5;11.1;43000;4060;3950;800;950
40000;244;231;32.3;19.6;12.2;56500;4970;4730;950;1110
50000;266;252;32.3;21.4;13.0;69900;5810;5430;1090;1250
60000;286;271;36.5;23.0;13.8;83200;6610;6090;1220;1370
