DWT/TEU;LOA;Lpp;Beam;Depth;Draft ;Displ;WLatLoad;WLatBal;WTnvLoad;WTnvBal
40000;224;214;31.6;19.6;14;57700;3240;4530;788;942
30000;205;195;29.2;18;12.8;44000;2710;3740;650;786
20000;181;172;26.1;15.9;11.2;30100;2110;2860;496;615
15000;166;157;24.1;14.6;10.2;22900;1770;2370;410;516
10000;146;138;21.5;12.9;8.9;15700;1380;1810;313;402
7000;131;123;19.5;11.6;8;11200;1106;1430;247;323
5000;118;111;17.8;10.5;7.1;8150;899;1143;197;262
3000;101;94;15.4;9;6;5040;656;815;140;192
1000;72;66;11.4;6.5;4.2;1790;333;394;67;98
