DWT/TEU;LOA;Lpp;Beam;Depth;Draft ;Displ;WLatLoad;WLatBal;WTnvLoad;WTnvBal
1000;63;58;10.3;5.2;3.6;1580;227;292;59;88
2000;78;72;12.4;6.4;4.5;3040;348;463;94;134
3000;88;82;13.9;7.2;5.1;4460;447;605;123;172
5000;104;96;16.0;8.4;6.1;7210;612;849;173;236
7000;115;107;17.6;9.3;6.8;9900;754;1060;216;290
10000;128;120;19.5;10.3;7.6;13900;940;1340;274;361
15000;146;136;21.8;11.7;8.7;20300;1210;1760;359;463
20000;159;149;23.6;12.7;9.6;26600;1440;2130;435;552
30000;181;170;26.4;14.4;10.9;39000;1850;2780;569;709
40000;197;186;28.6;15.7;12.0;51100;2210;3370;690;846
